model,banks,baseline_loss,severe_loss,cre_severe_loss,ci_severe_loss,mean_capital_depletion,mortgage_stress_status
Dynamic FE,14,6506847.8802569,27589008.620926794,24019785.159533087,3569223.4613937037,0.30441843578115063,unavailable: approved stress models cover CRE and CI only
Quantile 0.90,14,38571476.05731127,77333260.21197791,71288346.22992356,6044913.982054358,0.893763318818907,unavailable: approved stress models cover CRE and CI only
