window,segment,model,train_start,train_end,test_start,test_end,n,rmse,mae,oos_r2,bias,rmse_improvement_vs_ar
1,CRE,dynamic_fe,2005-01-01,2011-12-31,2012-01-01,2016-12-31,260,0.005286418196018752,0.004350194187387095,-2.0481232390377,-0.002331037172139982,-0.17541306142741067
1,CI,dynamic_fe,2005-01-01,2011-12-31,2012-01-01,2016-12-31,524,0.0096660926187707,0.006860589561241083,-1.304800868564827,-0.005707820985379391,-0.06603628528730429
2,CRE,dynamic_fe,2005-01-01,2016-12-31,2017-01-01,2019-12-31,324,0.003939884055584498,0.002245226717909686,-0.5500258228445851,-0.0007879155031988137,-0.07413613037504803
2,CI,dynamic_fe,2005-01-01,2016-12-31,2017-01-01,2019-12-31,312,0.007776986785077819,0.005689835412510899,-2.3701147599834855,0.004970037351192693,-0.4446395317415494
3,CRE,dynamic_fe,2005-01-01,2019-12-31,2020-01-01,2021-12-31,237,0.003095801035043081,0.0019367887938947221,-0.5581516134892595,-0.00034233753503549747,-0.03180252078771387
3,CI,dynamic_fe,2005-01-01,2019-12-31,2020-01-01,2021-12-31,231,0.0056992989399599365,0.004138520029843056,-0.6767023318015526,0.00040143672360570224,-0.13788159687411547
4,CRE,dynamic_fe,2005-01-01,2021-12-31,2022-01-01,2025-12-31,442,0.004227426278620764,0.002692837320461202,-0.15876305174009797,-0.0006515094284050298,-0.03593425083892591
4,CI,dynamic_fe,2005-01-01,2021-12-31,2022-01-01,2025-12-31,458,0.004827971613169397,0.003452514995072418,-0.04743370531976909,0.00038669120922822284,0.007165738773679603
