window,segment,model,train_start,train_end,test_start,test_end,n,rmse,mae,oos_r2,bias,rmse_improvement_vs_ar,result_layer,weighting,r2_vs_test_mean,weighted_sse,sse_improvement_vs_ar,common_scoring_keys_verified,target_definition_comparable_to_valid_corrected
2,CI,dynamic_fe,2005-01-01,2016-12-31,2017-01-01,2019-12-31,312,0.0077769867850778,0.0056898354125108,-2.370114759983485,0.0049700373511926,-0.4446395317415494,DATA_FIXED_SAME_SPEC_DIAGNOSTIC,,,,,,False
3,CRE,dynamic_fe,2005-01-01,2019-12-31,2020-01-01,2021-12-31,237,0.003095801035043,0.0019367887938947,-0.5581516134892595,-0.0003423375350354,-0.0318025207877138,DATA_FIXED_SAME_SPEC_DIAGNOSTIC,,,,,,False
3,CI,dynamic_fe,2005-01-01,2019-12-31,2020-01-01,2021-12-31,231,0.0056992989399599,0.004138520029843,-0.6767023318015526,0.0004014367236057,-0.1378815968741154,DATA_FIXED_SAME_SPEC_DIAGNOSTIC,,,,,,False
4,CRE,dynamic_fe,2005-01-01,2021-12-31,2022-01-01,2025-12-31,442,0.0042274262786207,0.0026928373204612,-0.1587630517400979,-0.000651509428405,-0.0359342508389259,DATA_FIXED_SAME_SPEC_DIAGNOSTIC,,,,,,False
4,CI,dynamic_fe,2005-01-01,2021-12-31,2022-01-01,2025-12-31,458,0.0048279716131693,0.0034525149950724,-0.047433705319769,0.0003866912092282,0.0071657387736796,DATA_FIXED_SAME_SPEC_DIAGNOSTIC,,,,,,False
1,CRE,ar,2005-01-01,2011-12-31,2012-01-01,2016-12-31,260,0.004497498257845607,0.0032734709805432877,,-0.0025173347581346163,,VALID_CORRECTED,equal_observation,-1.2062336145561008,2.022749057932427e-05,0.0,True,True
1,CRE,dynamic_fe,2005-01-01,2011-12-31,2012-01-01,2016-12-31,260,0.005286418196018752,0.004350194187387095,,-0.002331037172139982,,VALID_CORRECTED,equal_observation,-2.0481232390377,2.7946217343198157e-05,-0.3815958649741584,True,True
1,CI,ar,2005-01-01,2011-12-31,2012-01-01,2016-12-31,524,0.009067320458201494,0.006498931462045153,,-0.005432878117464863,,VALID_CORRECTED,equal_observation,-1.0281003238262767,8.221630029171936e-05,0.0,True,True
1,CI,dynamic_fe,2005-01-01,2011-12-31,2012-01-01,2016-12-31,524,0.009666092618770702,0.006860589561241083,,-0.00570782098537939,,VALID_CORRECTED,equal_observation,-1.3048008685648265,9.343334651465345e-05,-0.13643336154915553,True,True
2,CRE,ar,2005-01-01,2016-12-31,2017-01-01,2019-12-31,324,0.0036679559919549844,0.0019241544674466452,,-0.0010243562687059194,,VALID_CORRECTED,equal_observation,-0.3434462125498534,1.3453901158918474e-05,0.0,True,True
