window,segment,model,train_start,train_end,test_start,test_end,n,rmse,mae,oos_r2,bias,rmse_improvement_vs_ar
1,CRE,ar,2005-01-01,2011-12-31,2012-01-01,2016-12-31,260,0.004497498257845608,0.003273470980543288,-1.2062336145561012,-0.0025173347581346167,-0.17541306142741067
1,CI,ar,2005-01-01,2011-12-31,2012-01-01,2016-12-31,524,0.009067320458201496,0.006498931462045155,-1.0281003238262776,-0.005432878117464863,-0.06603628528730429
2,CRE,ar,2005-01-01,2016-12-31,2017-01-01,2019-12-31,324,0.003667955991954985,0.0019241544674466454,-0.34344621254985364,-0.0010243562687059196,-0.07413613037504803
2,CI,ar,2005-01-01,2016-12-31,2017-01-01,2019-12-31,312,0.005383340697940382,0.003877055169878961,-0.6148258762655503,-0.0024243445030452436,-0.4446395317415494
3,CRE,ar,2005-01-01,2019-12-31,2020-01-01,2021-12-31,237,0.003000381344949263,0.001788464527551118,-0.46358026436523714,-0.0006197460363674636,-0.03180252078771387
3,CI,ar,2005-01-01,2019-12-31,2020-01-01,2021-12-31,231,0.005008692429525647,0.003772628783915332,-0.29497630273729447,-0.0019664194378635276,-0.13788159687411547
4,CRE,ar,2005-01-01,2021-12-31,2022-01-01,2025-12-31,442,0.004080786280786919,0.0020029829495523096,-0.07976750704554836,0.0001959602504459576,-0.03593425083892591
4,CI,ar,2005-01-01,2021-12-31,2022-01-01,2025-12-31,458,0.004862817291585027,0.0035793996853007897,-0.06260788375745796,-0.001175632815791372,0.007165738773679603
