cre_tercile,nco_rate,tier1_ratio,allowance_coverage,observations
low,0.016307269502637684,0.10506688649376271,0.015411864843940474,867
middle,0.003227067646014757,0.10641605184032935,0.014070099415729218,924
high,0.004057747384573463,0.10892751533159693,0.012224452300757579,924
