segment,banks,observations,exposure_mean,nco_rate_mean,npl_rate_mean
CI,33,2715,9243972.262246776,0.006007970964478543,0.016131058463931622
CRE,33,2715,8414013.73296501,0.023425575480714594,0.016131058463931622
Mortgage,33,2715,6412769.87771639,0.00314877807426021,0.016131058463931622
