source_url,download_timestamp,file_name,sha256,report_period,version,size_bytes
https://cdr.ffiec.gov/public/pws/downloadbulkdata.aspx,2026-09-02T04:03:32.281963+00:00,FFIEC CDR Call Bulk All Schedules 12312010.zip,4d2da023320603585eb3e6ae750e383cf555e272c74111ce54f3fd32225d3845,2010-12-31,1,8912663
https://cdr.ffiec.gov/public/pws/downloadbulkdata.aspx,2026-09-02T04:03:35.995688+00:00,FFIEC CDR Call Bulk All Schedules 03312011.zip,d3b38b2c265039acc3dc9147d60f5aa0cef7b589295963d0b3d53d0ab8b877f4,2011-03-31,1,8573536
https://cdr.ffiec.gov/public/pws/downloadbulkdata.aspx,2026-09-02T04:03:40.019119+00:00,FFIEC CDR Call Bulk All Schedules 06302011.zip,ccc4e9a671d90b38afd1f018483106dbc1ded65f5a836ff5bf26e7b2e308e5e7,2011-06-30,1,8721083
https://cdr.ffiec.gov/public/pws/downloadbulkdata.aspx,2026-09-02T04:03:44.535477+00:00,FFIEC CDR Call Bulk All Schedules 09302011.zip,7e9d057d53bb72706a5fa1484a0cfa1e855b5231846ecd58f614d2535109316e,2011-09-30,1,8758502
https://cdr.ffiec.gov/public/pws/downloadbulkdata.aspx,2026-09-02T04:03:48.621299+00:00,FFIEC CDR Call Bulk All Schedules 12312011.zip,25122692264adb8090e7371a1b197015400bd8983e7a4cd815c89a209a234dc7,2011-12-31,1,8953532
https://cdr.ffiec.gov/public/pws/downloadbulkdata.aspx,2026-09-02T04:03:53.749521+00:00,FFIEC CDR Call Bulk All Schedules 03312012.zip,7d4e18a85bf0065d8726acbdca4e05da5ef30669c2b092217957687ce45575c5,2012-03-31,1,9237382
https://cdr.ffiec.gov/public/pws/downloadbulkdata.aspx,2026-09-02T04:03:58.643791+00:00,FFIEC CDR Call Bulk All Schedules 06302012.zip,9ce5617a9b22f573154b55aa290dc180d9a681495104311913eab0eea9e61393,2012-06-30,1,9320283
https://cdr.ffiec.gov/public/pws/downloadbulkdata.aspx,2026-09-02T04:04:03.982936+00:00,FFIEC CDR Call Bulk All Schedules 09302012.zip,afa1e734e9414d0bd6ce7489c59b1cc01772c573e1b0a0866cbde904a04af914,2012-09-30,1,9349302
https://cdr.ffiec.gov/public/pws/downloadbulkdata.aspx,2026-09-02T04:04:09.579432+00:00,FFIEC CDR Call Bulk All Schedules 12312012.zip,eb8a30c78f7e97f626cb215f0b84dc04b91b73b40ec450154e276fd9541ca23e,2012-12-31,1,9457137
https://cdr.ffiec.gov/public/pws/downloadbulkdata.aspx,2026-09-02T04:04:14.783681+00:00,FFIEC CDR Call Bulk All Schedules 03312013.zip,5b8af57df1418a31ef27d1a5cdf9fedd28bb58495593e68ef2d1ae2b3ac45197,2013-03-31,1,8998063
https://cdr.ffiec.gov/public/pws/downloadbulkdata.aspx,2026-09-02T04:04:20.730357+00:00,FFIEC CDR Call Bulk All Schedules 06302013.zip,a97b3ebef53edb054080277f6ec5253ee5134073d0a53c840f5668ff858eae1f,2013-06-30,1,9159152
https://cdr.ffiec.gov/public/pws/downloadbulkdata.aspx,2026-09-02T04:04:25.427965+00:00,FFIEC CDR Call Bulk All Schedules 09302013.zip,4538417f60455b5705b58ba7d6630abe2a7a80b35696522bd9ffdad83c892793,2013-09-30,1,9180618
https://cdr.ffiec.gov/public/pws/downloadbulkdata.aspx,2026-09-02T04:04:30.841813+00:00,FFIEC CDR Call Bulk All Schedules 12312013.zip,46e9bc70546da136a1d7170e3031a5bec8538c8857955b55fb67b84ba9ecd69a,2013-12-31,1,9301159
https://cdr.ffiec.gov/public/pws/downloadbulkdata.aspx,2026-09-02T04:04:35.199117+00:00,FFIEC CDR Call Bulk All Schedules 03312014.zip,571fd57586a109e8a3a4b8200a8d4f3b91042210ae6b2c88bb549953822b6948,2014-03-31,1,8923944
https://cdr.ffiec.gov/public/pws/downloadbulkdata.aspx,2026-09-02T04:04:39.367300+00:00,FFIEC CDR Call Bulk All Schedules 06302014.zip,3cfda96e5e04d78611c3846b2ee870e3cbb6cfa4e2f4393c53e61d1e559830e4,2014-06-30,1,8957025
https://cdr.ffiec.gov/public/pws/downloadbulkdata.aspx,2026-09-02T04:04:44.270810+00:00,FFIEC CDR Call Bulk All Schedules 09302014.zip,16e25db1ec4fd2b8ad46a44a8d658cbd04a71a2b6c6c40323470148efd6f97a4,2014-09-30,1,8943985
https://cdr.ffiec.gov/public/pws/downloadbulkdata.aspx,2026-09-02T04:04:48.696376+00:00,FFIEC CDR Call Bulk All Schedules 12312014.zip,32865ed3b3e78f3fc2ff9e24465b7b43b558a6d2175b33d0f1ca9d399885191d,2014-12-31,1,9051604
https://cdr.ffiec.gov/public/pws/downloadbulkdata.aspx,2026-09-02T04:04:53.893370+00:00,FFIEC CDR Call Bulk All Schedules 03312015.zip,a971134e5d959f9449a4a1e98b0b6fd839fe3a0d816e18383ed4fd98e8329b24,2015-03-31,1,8787483
https://cdr.ffiec.gov/public/pws/downloadbulkdata.aspx,2026-09-02T04:04:59.931958+00:00,FFIEC CDR Call Bulk All Schedules 06302015.zip,f6887e487ec985bd86a2382dfcbc1d2817bb343010d9fc3bf241710dc45de70a,2015-06-30,1,8845893
https://cdr.ffiec.gov/public/pws/downloadbulkdata.aspx,2026-09-02T04:05:06.505177+00:00,FFIEC CDR Call Bulk All Schedules 09302015.zip,a8591c4d2b4d46c81377c1803558c2219ff0660f4ca7bf85f3b335e0bcca78b8,2015-09-30,1,8833964
https://cdr.ffiec.gov/public/pws/downloadbulkdata.aspx,2026-09-02T04:05:12.553733+00:00,FFIEC CDR Call Bulk All Schedules 12312015.zip,fe189d41651d518dcb1494475a0ae36abbe08b83161adfdf76dda49735b20475,2015-12-31,1,8927826
https://cdr.ffiec.gov/public/pws/downloadbulkdata.aspx,2026-09-02T04:05:17.391440+00:00,FFIEC CDR Call Bulk All Schedules 03312016.zip,0d6e0882cb7805d87b2ae8ccd29dae37184068a2065bac9b9309fd3ec86138cd,2016-03-31,1,8517435
https://cdr.ffiec.gov/public/pws/downloadbulkdata.aspx,2026-09-02T04:05:21.547618+00:00,FFIEC CDR Call Bulk All Schedules 06302016.zip,4831339e9072c7d95e7ba7588de1485691c83789b7cc9848b08b428c9ac96f87,2016-06-30,1,8576699
https://cdr.ffiec.gov/public/pws/downloadbulkdata.aspx,2026-09-02T04:05:25.520330+00:00,FFIEC CDR Call Bulk All Schedules 09302016.zip,7935720ac78923c635cae4ccaceea1ea9061e74aee45130b846764b868bff8ea,2016-09-30,1,8476997
https://cdr.ffiec.gov/public/pws/downloadbulkdata.aspx,2026-09-02T04:05:30.296276+00:00,FFIEC CDR Call Bulk All Schedules 12312016.zip,b807fd03a5fe431fb0a544cf52ad8d7fe40ff6c855c94c921cb220583a599fcf,2016-12-31,1,8601281
https://cdr.ffiec.gov/public/pws/downloadbulkdata.aspx,2026-09-02T04:05:35.150448+00:00,FFIEC CDR Call Bulk All Schedules 03312017.zip,2b94ead4f7d00d4b275b8f94b5b96cfdbd68df32bd78e20d345198e08f8b6795,2017-03-31,1,8019468
https://cdr.ffiec.gov/public/pws/downloadbulkdata.aspx,2026-09-02T04:05:39.775900+00:00,FFIEC CDR Call Bulk All Schedules 06302017.zip,bab661c954c1091ad95cca1c36fc7228f837b1cc10b53964d063dc0800dd40ce,2017-06-30,1,8198944
https://cdr.ffiec.gov/public/pws/downloadbulkdata.aspx,2026-09-02T04:05:43.927961+00:00,FFIEC CDR Call Bulk All Schedules 09302017.zip,bacf56cc421f89e148fe5d8ceb7605da37891484d8d2ca59b1275a74eedce6f4,2017-09-30,1,8029249
https://cdr.ffiec.gov/public/pws/downloadbulkdata.aspx,2026-09-02T04:05:46.258860+00:00,FFIEC CDR Call Bulk All Schedules 12312017.zip,e2c8d45d363450501f2088d10addfc317228c3571a35a6d0b5ba154190509b4b,2017-12-31,1,8330190
https://cdr.ffiec.gov/public/pws/downloadbulkdata.aspx,2026-09-02T04:05:48.420792+00:00,FFIEC CDR Call Bulk All Schedules 03312018.zip,a9be30d444f7a2dd4d43db96d2a8bc56eb8deac28387617b7bcb46482742f87c,2018-03-31,1,7723363
https://cdr.ffiec.gov/public/pws/downloadbulkdata.aspx,2026-09-02T04:05:50.597726+00:00,FFIEC CDR Call Bulk All Schedules 06302018.zip,02247ea0634389ce1dde627766083fedbb4065036695399f32e477e8e6c2aef9,2018-06-30,1,7769831
