segment,term,full_fe,first_half_fe,second_half_fe,spj_bias_corrected
CRE,lagged_nco_rate,0.3236357460992783,0.25238779717512194,0.12842648412843713,0.45686435154677707
CRE,lagged_noncurrent_ratio,0.08874456554644086,0.10167121034459628,0.0776750727567458,0.08781598954221068
CRE,lagged_allowance_coverage,0.5316902430758551,0.805197271604386,0.0896873803338661,0.6159381601825842
CRE,lagged_loan_growth,-0.0018767629316677457,-0.0015803132236100114,0.0002456215535040704,-0.003086180028282521
CRE,lagged_tier1_ratio,0.009906905002234323,-0.053817935750723224,-0.001305733010190772,0.04737564438492564
CRE,lagged_cre_price_growth,4.994030578852139e-07,5.704522147917931e-07,2.1798084636867455e-07,6.04589585190194e-07
CRE,lagged_gdp_growth,3.7840886990237725e-05,0.0007193868217161061,-8.479032259600208e-05,-0.0002416164755795766
CRE,lagged_bbb_spread,0.0011352065824981954,0.0009059017135307955,0.00010200572568457342,0.0017664594453887066
CRE,lagged_short_rate,0.0005693596208262489,0.0009857557412092663,0.0004012330518432583,0.0004452248451262354
CI,lagged_nco_rate,0.2606740540954195,0.23567656536506268,0.19393413449928865,0.30654275825866334
CI,lagged_noncurrent_ratio,0.08104088171180213,0.07159609912920929,0.07318325299663708,0.08969208736068107
CI,lagged_allowance_coverage,0.20526286111954514,0.14842194308884452,0.23230619695309418,0.22016165221812095
CI,lagged_loan_growth,-0.001029271519015465,-0.0008706714122083142,-0.0003636266355245501,-0.0014413940141644976
CI,lagged_tier1_ratio,0.007039926236013602,-0.011404216058582248,0.03166991861774015,0.003947001192448254
CI,lagged_gdp_growth,9.9140377019907e-07,0.0007420260113856963,-0.00014097608313349522,-0.0002985421565857024
CI,lagged_bbb_spread,0.0027418731575760713,0.003347000120110709,0.0003671452069013383,0.003626673651646119
CI,lagged_unemployment_rate,-7.340782329290563e-05,0.0005880803866327002,-0.00014276574293707765,-0.00036947296843362255
CI,lagged_short_rate,0.0005882429432975284,0.0008686877676514259,0.0005577376740347634,0.0004632731657519622
