bank_id,cert,rssd_id,bank_name,parent_name,assets,form_type,first_report_date,last_report_date,active_2025q4,failed_flag,acquired_flag,specialized_business_flag,core_sample_flag,exclusion_reason,specialized_review_status,specialized_review_period,primary_source,primary_source_url,evidence_summary,credit_card_assessment,auto_finance_assessment,custody_asset_servicing_assessment,broker_dealer_trading_assessment
722777,29950,722777,SANTANDER BANK N A,BANCO SANTANDER SA,104148024,31,2012-03-31,2025-12-31,1,0,0,0,1,,reviewed,2025-12-31,FFIEC 2025Q4 Call Report legal-entity filing,https://cdr.ffiec.gov/public/pws/downloadbulkdata.aspx,Legal-entity Call Report and issuer annual filing reviewed; no affirmative primary-source characterization of this bank as a prohibited dominant specialty.,no,no,no,no
723112,6672,723112,FIFTH THIRD BANK NA,FIFTH THIRD BCORP,213730000,31,2005-03-31,2025-12-31,1,0,0,0,1,,reviewed,2025-12-31,FFIEC 2025Q4 Call Report legal-entity filing,https://cdr.ffiec.gov/public/pws/downloadbulkdata.aspx,Legal-entity Call Report and issuer annual filing reviewed; no affirmative primary-source characterization of this bank as a prohibited dominant specialty.,no,no,no,no
749242,12437,749242,RENASANT BANK,RENASANT CORP,26747636,41,,,1,0,0,0,0,primary_source_review_required,review_required,,,,,,,,
761806,18221,761806,WEBSTER BANK NATIONAL ASSN,WEBSTER FINANCIAL CORP,83985466,41,2005-03-31,2025-12-31,1,0,0,0,1,,reviewed,2025-12-31,FFIEC 2025Q4 Call Report legal-entity filing,https://cdr.ffiec.gov/public/pws/downloadbulkdata.aspx,Legal-entity Call Report and issuer annual filing reviewed; no affirmative primary-source characterization of this bank as a prohibited dominant specialty.,no,no,no,no
764030,20504,764030,AMERIS BANK,AMERIS BCORP,27432143,41,,,1,0,0,0,0,primary_source_review_required,review_required,,,,,,,,
782306,17798,782306,BEACON BANK&TRUST,BEACON FINANCIAL CORP,23181570,41,,,1,0,0,0,0,primary_source_review_required,review_required,,,,,,,,
790105,33686,790105,BANK HAPOALIM B M,,10183954,2,,,1,0,0,0,0,primary_source_review_required,review_required,,,,,,,,
795968,18053,795968,BANK OF HAWAII,BANK OF HAWAII CORP,24142511,31,,,1,0,0,0,0,primary_source_review_required,review_required,,,,,,,,
814430,20234,814430,CITY NB OF FLORIDA,EMPRESAS JUAN YARUR SPA,28048551,41,,,1,0,0,0,0,primary_source_review_required,review_required,,,,,,,,
853952,12633,853952,CENTRAL TRUST BANK,CENTRAL BANCOMPANY INC,20799746,41,,,1,0,0,0,0,primary_source_review_required,review_required,,,,,,,,
85472,28359,85472,OCEANFIRST BANK NA,OCEANFIRST FINANCIAL CORP,14471649,41,,,1,0,0,0,0,primary_source_review_required,review_required,,,,,,,,
871769,1225,871769,FARMERS&MERCHANTS BK LONG BE,PALOMAR ENTERPRISES LLC,11797060,41,,,1,0,0,0,0,primary_source_review_required,review_required,,,,,,,,
908508,33653,908508,BANK OF CHINA,,61890846,2,,,1,0,0,0,0,insufficient_report_history,reviewed,2025-12-31,FFIEC 2025Q4 Call Report legal-entity filing,https://cdr.ffiec.gov/public/pws/downloadbulkdata.aspx,Legal-entity Call Report and issuer annual filing reviewed; no affirmative primary-source characterization of this bank as a prohibited dominant specialty.,no,no,no,no
909000,33681,909000,BANK OF BARODA,,15915772,2,,,1,0,0,0,0,primary_source_review_required,review_required,,,,,,,,
915878,30012,915878,THIRD FS&LA OF CLEVELAND,THIRD FS&LA OF CLEVELAND MHC,17487528,41,,,1,0,0,0,0,primary_source_review_required,review_required,,,,,,,,
917742,5296,917742,ASSOCIATED BANK NA,ASSOCIATED BANC-CORP,45145405,41,,,1,0,0,0,0,primary_source_review_required,review_required,,,,,,,,
918918,26876,918918,SAFRA NB OF NEW YORK,SNBNY HOLDINGS LTD,12464657,31,,,1,0,0,0,0,primary_source_review_required,review_required,,,,,,,,
929352,19581,929352,BELL BANK,STATE BANKSHARES INC,14443599,41,,,1,0,0,0,0,primary_source_review_required,review_required,,,,,,,,
933966,21716,933966,CITIZENS BUSINESS BANK NA,CVB FINANCIAL CORP,15634835,41,,,1,0,0,0,0,primary_source_review_required,review_required,,,,,,,,
934329,7946,934329,BNY MELLON NATIONAL ASSN,BANK OF NY MELLON CORP THE,31329000,31,,,1,0,0,0,0,primary_source_review_required,review_required,,,,,,,,
936462,1768,936462,MECHANICS BANK,2011 TCRT,22367624,41,,,1,0,0,0,0,primary_source_review_required,review_required,,,,,,,,
936855,8273,936855,UMB BANK NATIONAL ASSN,UMB FINANCIAL CORP,72780016,31,2005-03-31,2025-12-31,1,0,0,0,1,,reviewed,2025-12-31,FFIEC 2025Q4 Call Report legal-entity filing,https://cdr.ffiec.gov/public/pws/downloadbulkdata.aspx,Legal-entity Call Report and issuer annual filing reviewed; no affirmative primary-source characterization of this bank as a prohibited dominant specialty.,no,no,no,no
940311,34968,940311,BANCO POPULAR DE PUERTO RICO,POPULAR INC,59766000,31,2005-03-31,2025-12-31,1,0,0,0,1,,reviewed,2025-12-31,FFIEC 2025Q4 Call Report legal-entity filing,https://cdr.ffiec.gov/public/pws/downloadbulkdata.aspx,Legal-entity Call Report and issuer annual filing reviewed; no affirmative primary-source characterization of this bank as a prohibited dominant specialty.,no,no,no,no
95716,33682,95716,STATE BANK OF INDIA,,22604140,2,,,1,0,0,0,0,primary_source_review_required,review_required,,,,,,,,
961624,32245,961624,DOLLAR BANK FSB,DOLLAR MUTUAL BCORP,12513390,41,,,1,0,0,0,0,primary_source_review_required,review_required,,,,,,,,
962966,26881,962966,SOFI BANK NATIONAL ASSN,SOFI TECHNOLOGIES INC,46568135,41,2005-03-31,2025-12-31,1,0,0,0,1,,reviewed,2025-12-31,FFIEC 2025Q4 Call Report legal-entity filing,https://cdr.ffiec.gov/public/pws/downloadbulkdata.aspx,Legal-entity Call Report and issuer annual filing reviewed; no affirmative primary-source characterization of this bank as a prohibited dominant specialty.,no,no,no,no
963945,8056,963945,MERCHANTS BANK OF INDIANA,MERCHANTS BCORP,19390856,41,,,1,0,0,0,0,primary_source_review_required,review_required,,,,,,,,
980661,17985,980661,FIRST HAWAIIAN BANK,FIRST HAWAIIAN INC,23958223,31,,,1,0,0,0,0,primary_source_review_required,review_required,,,,,,,,
