bank_id,event_date,event_type,source,notes
1929247,2012-06-01,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
1929247,2010-08-20,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
1929247,2022-03-01,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
1929247,2017-01-20,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
197478,2009-11-06,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
197478,2014-01-18,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
197478,2005-09-07,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
197478,2007-08-18,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
197478,2010-06-11,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
197478,2006-03-18,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
208244,2025-05-01,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
208244,2024-04-01,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
208244,2011-01-01,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
208244,2022-02-16,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
208244,2017-11-01,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
208244,2016-05-01,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
208244,2014-08-01,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
208244,2018-11-01,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
208244,2011-07-29,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
208244,2012-09-15,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
208244,2007-02-02,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
208244,2014-04-26,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
208244,2014-11-01,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
208244,2015-01-01,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
229801,2015-12-01,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
229801,2005-03-31,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
229801,2005-06-03,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
229801,2022-04-01,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
229801,2019-12-01,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
229801,2008-07-01,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
229801,2012-01-01,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
229801,2018-01-01,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
229801,2014-11-01,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
229801,2021-12-01,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
229801,2010-03-11,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
229801,2014-10-17,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
229801,2010-03-12,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
233031,2006-11-04,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
233031,2005-06-30,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
233031,2009-02-06,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
233031,2005-09-29,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
233031,2008-08-29,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
276579,2015-12-31,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
280110,2016-10-08,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
280110,2005-08-01,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
280110,2008-01-17,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
280110,2014-09-30,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
2925666,2017-06-16,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
2925666,2006-03-27,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
2925666,2016-07-01,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
2925666,2015-09-01,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
2925666,2008-03-01,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
2925666,2015-08-03,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
3138146,2010-12-31,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
