bank_id,cert,bank_name,report_date,segment,raw_source_files,source_archive_members,charge_off_raw_fields_and_values,recovery_raw_fields_and_values,transformation,quarterly_charge_off_thousands,quarterly_recovery_thousands,derived_segment_nco_thousands,panel_segment_nco_thousands,raw_archive_to_standard_match,derived_to_panel_match,reviewer,reviewer_conclusion,reviewer_note,limitation
3212149,57565,UBS BANK USA,2023-03-31,Mortgage,FFIEC CDR Call Bulk All Schedules 03312023.zip,FFIEC CDR Call Bulk All Schedules 03312023.zip::FFIEC CDR Call Schedule RIBI 03312023.txt; FFIEC CDR Call Bulk All Schedules 03312023.zip::FFIEC CDR Call Schedule RIBI 03312023.txt,RIADC234: current_ytd=0; quarterly=current_ytd,RIADC217: current_ytd=0; quarterly=current_ytd,Q1: quarterly=YTD; Q2-Q4: quarterly=current YTD-prior-quarter YTD; segment NCO=quarterly charge-offs-quarterly recoveries,0.0,0.0,0.0,0.0,True,True,Batch 1 acceptance repair operator,PASS,Direct FFIEC archive members and values were inspected; raw-to-standard and recomputed-to-panel traces agree.,"This is a fixed random 100-observation source-document sample, not evidence that all unreviewed reporting-detail changes are absent."
60143,983,COMERICA BANK,2011-06-30,CRE,FFIEC CDR Call Bulk All Schedules 03312011.zip; FFIEC CDR Call Bulk All Schedules 06302011.zip,FFIEC CDR Call Bulk All Schedules 03312011.zip::FFIEC CDR Call Schedule RIBI 03312011.txt; FFIEC CDR Call Bulk All Schedules 06302011.zip::FFIEC CDR Call Schedule RIBI 06302011.txt; FFIEC CDR Call Bulk All Schedules 03312011.zip::FFIEC CDR Call Schedule RIBI 03312011.txt; FFIEC CDR Call Bulk All Schedules 06302011.zip::FFIEC CDR Call Schedule RIBI 06302011.txt,RIAD3588: current_ytd=4879; prior_ytd=1255; quarterly=3624 | RIADC893: current_ytd=26859; prior_ytd=17320; quarterly=9539 | RIADC895: current_ytd=35385; prior_ytd=16551; quarterly=18834 | RIADC897: current_ytd=21174; prior_ytd=7640; quarterly=13534,RIAD3589: current_ytd=229; prior_ytd=26; quarterly=203 | RIADC894: current_ytd=10567; prior_ytd=8230; quarterly=2337 | RIADC896: current_ytd=2472; prior_ytd=995; quarterly=1477 | RIADC898: current_ytd=1958; prior_ytd=73; quarterly=1885,Q1: quarterly=YTD; Q2-Q4: quarterly=current YTD-prior-quarter YTD; segment NCO=quarterly charge-offs-quarterly recoveries,45531.0,5902.0,39629.0,39629.0,True,True,Batch 1 acceptance repair operator,PASS,Direct FFIEC archive members and values were inspected; raw-to-standard and recomputed-to-panel traces agree.,"This is a fixed random 100-observation source-document sample, not evidence that all unreviewed reporting-detail changes are absent."
229801,9396,VALLEY NATIONAL BANK,2025-06-30,Mortgage,FFIEC CDR Call Bulk All Schedules 03312025.zip; FFIEC CDR Call Bulk All Schedules 06302025.zip,FFIEC CDR Call Bulk All Schedules 03312025.zip::FFIEC CDR Call Schedule RIBI 03312025.txt; FFIEC CDR Call Bulk All Schedules 06302025.zip::FFIEC CDR Call Schedule RIBI 06302025.txt; FFIEC CDR Call Bulk All Schedules 03312025.zip::FFIEC CDR Call Schedule RIBI 03312025.txt; FFIEC CDR Call Bulk All Schedules 06302025.zip::FFIEC CDR Call Schedule RIBI 06302025.txt,RIADC234: current_ytd=46; prior_ytd=0; quarterly=46,RIADC217: current_ytd=205; prior_ytd=168; quarterly=37,Q1: quarterly=YTD; Q2-Q4: quarterly=current YTD-prior-quarter YTD; segment NCO=quarterly charge-offs-quarterly recoveries,46.0,37.0,9.0,9.0,True,True,Batch 1 acceptance repair operator,PASS,Direct FFIEC archive members and values were inspected; raw-to-standard and recomputed-to-panel traces agree.,"This is a fixed random 100-observation source-document sample, not evidence that all unreviewed reporting-detail changes are absent."
233031,12368,REGIONS BANK,2009-12-31,CRE,FFIEC CDR Call Bulk All Schedules 09302009.zip; FFIEC CDR Call Bulk All Schedules 12312009.zip,FFIEC CDR Call Bulk All Schedules 09302009.zip::FFIEC CDR Call Schedule RIBI 09302009.txt; FFIEC CDR Call Bulk All Schedules 12312009.zip::FFIEC CDR Call Schedule RIBI 12312009.txt; FFIEC CDR Call Bulk All Schedules 09302009.zip::FFIEC CDR Call Schedule RIBI 09302009.txt; FFIEC CDR Call Bulk All Schedules 12312009.zip::FFIEC CDR Call Schedule RIBI 12312009.txt,RIAD3588: current_ytd=203445; prior_ytd=140848; quarterly=62597 | RIADC893: current_ytd=280038; prior_ytd=188845; quarterly=91193 | RIADC895: current_ytd=81623; prior_ytd=47130; quarterly=34493 | RIADC897: current_ytd=213497; prior_ytd=121387; quarterly=92110,RIAD3589: current_ytd=858; prior_ytd=243; quarterly=615 | RIADC894: current_ytd=2323; prior_ytd=2088; quarterly=235 | RIADC896: current_ytd=2701; prior_ytd=2088; quarterly=613 | RIADC898: current_ytd=3318; prior_ytd=2114; quarterly=1204,Q1: quarterly=YTD; Q2-Q4: quarterly=current YTD-prior-quarter YTD; segment NCO=quarterly charge-offs-quarterly recoveries,280393.0,2667.0,277726.0,277726.0,True,True,Batch 1 acceptance repair operator,PASS,Direct FFIEC archive members and values were inspected; raw-to-standard and recomputed-to-panel traces agree.,"This is a fixed random 100-observation source-document sample, not evidence that all unreviewed reporting-detail changes are absent."
936855,8273,UMB BANK NATIONAL ASSN,2013-03-31,CRE,FFIEC CDR Call Bulk All Schedules 03312013.zip,FFIEC CDR Call Bulk All Schedules 03312013.zip::FFIEC CDR Call Schedule RIBI 03312013.txt; FFIEC CDR Call Bulk All Schedules 03312013.zip::FFIEC CDR Call Schedule RIBI 03312013.txt,RIAD3588: current_ytd=0; quarterly=current_ytd | RIADC893: current_ytd=0; quarterly=current_ytd | RIADC895: current_ytd=0; quarterly=current_ytd | RIADC897: current_ytd=0; quarterly=current_ytd,RIAD3589: current_ytd=0; quarterly=current_ytd | RIADC894: current_ytd=0; quarterly=current_ytd | RIADC896: current_ytd=0; quarterly=current_ytd | RIADC898: current_ytd=0; quarterly=current_ytd,Q1: quarterly=YTD; Q2-Q4: quarterly=current YTD-prior-quarter YTD; segment NCO=quarterly charge-offs-quarterly recoveries,0.0,0.0,0.0,0.0,True,True,Batch 1 acceptance repair operator,PASS,Direct FFIEC archive members and values were inspected; raw-to-standard and recomputed-to-panel traces agree.,"This is a fixed random 100-observation source-document sample, not evidence that all unreviewed reporting-detail changes are absent."
723112,6672,FIFTH THIRD BANK NA,2014-03-31,CRE,FFIEC CDR Call Bulk All Schedules 03312014.zip,FFIEC CDR Call Bulk All Schedules 03312014.zip::FFIEC CDR Call Schedule RIBI 03312014.txt; FFIEC CDR Call Bulk All Schedules 03312014.zip::FFIEC CDR Call Schedule RIBI 03312014.txt,RIAD3588: current_ytd=880; quarterly=current_ytd | RIADC893: current_ytd=7838; quarterly=current_ytd | RIADC895: current_ytd=2751; quarterly=current_ytd | RIADC897: current_ytd=1514; quarterly=current_ytd,RIAD3589: current_ytd=52; quarterly=current_ytd | RIADC894: current_ytd=2928; quarterly=current_ytd | RIADC896: current_ytd=150; quarterly=current_ytd | RIADC898: current_ytd=198; quarterly=current_ytd,Q1: quarterly=YTD; Q2-Q4: quarterly=current YTD-prior-quarter YTD; segment NCO=quarterly charge-offs-quarterly recoveries,12983.0,3328.0,9655.0,9655.0,True,True,Batch 1 acceptance repair operator,PASS,Direct FFIEC archive members and values were inspected; raw-to-standard and recomputed-to-panel traces agree.,"This is a fixed random 100-observation source-document sample, not evidence that all unreviewed reporting-detail changes are absent."
606046,11813,CADENCE BANK,2024-03-31,Mortgage,FFIEC CDR Call Bulk All Schedules 03312024.zip,FFIEC CDR Call Bulk All Schedules 03312024.zip::FFIEC CDR Call Schedule RIBI 03312024.txt; FFIEC CDR Call Bulk All Schedules 03312024.zip::FFIEC CDR Call Schedule RIBI 03312024.txt,RIADC234: current_ytd=417; quarterly=current_ytd,RIADC217: current_ytd=123; quarterly=current_ytd,Q1: quarterly=YTD; Q2-Q4: quarterly=current YTD-prior-quarter YTD; segment NCO=quarterly charge-offs-quarterly recoveries,417.0,123.0,294.0,294.0,True,True,Batch 1 acceptance repair operator,PASS,Direct FFIEC archive members and values were inspected; raw-to-standard and recomputed-to-panel traces agree.,"This is a fixed random 100-observation source-document sample, not evidence that all unreviewed reporting-detail changes are absent."
940311,34968,BANCO POPULAR DE PUERTO RICO,2019-12-31,CRE,FFIEC CDR Call Bulk All Schedules 09302019.zip; FFIEC CDR Call Bulk All Schedules 12312019.zip,FFIEC CDR Call Bulk All Schedules 09302019.zip::FFIEC CDR Call Schedule RIBI 09302019.txt; FFIEC CDR Call Bulk All Schedules 12312019.zip::FFIEC CDR Call Schedule RIBI 12312019.txt; FFIEC CDR Call Bulk All Schedules 09302019.zip::FFIEC CDR Call Schedule RIBI 09302019.txt; FFIEC CDR Call Bulk All Schedules 12312019.zip::FFIEC CDR Call Schedule RIBI 12312019.txt,RIAD3588: current_ytd=0; prior_ytd=0; quarterly=0 | RIADC893: current_ytd=0; prior_ytd=0; quarterly=0 | RIADC895: current_ytd=7000; prior_ytd=3000; quarterly=4000 | RIADC897: current_ytd=20000; prior_ytd=17000; quarterly=3000,RIAD3589: current_ytd=0; prior_ytd=0; quarterly=0 | RIADC894: current_ytd=3000; prior_ytd=3000; quarterly=0 | RIADC896: current_ytd=7000; prior_ytd=5000; quarterly=2000 | RIADC898: current_ytd=3000; prior_ytd=2000; quarterly=1000,Q1: quarterly=YTD; Q2-Q4: quarterly=current YTD-prior-quarter YTD; segment NCO=quarterly charge-offs-quarterly recoveries,7000.0,3000.0,4000.0,4000.0,True,True,Batch 1 acceptance repair operator,PASS,Direct FFIEC archive members and values were inspected; raw-to-standard and recomputed-to-panel traces agree.,"This is a fixed random 100-observation source-document sample, not evidence that all unreviewed reporting-detail changes are absent."
501105,588,MANUFACTURERS&TRADERS TR CO,2011-09-30,CRE,FFIEC CDR Call Bulk All Schedules 06302011.zip; FFIEC CDR Call Bulk All Schedules 09302011.zip,FFIEC CDR Call Bulk All Schedules 06302011.zip::FFIEC CDR Call Schedule RIBI 06302011.txt; FFIEC CDR Call Bulk All Schedules 09302011.zip::FFIEC CDR Call Schedule RIBI 09302011.txt; FFIEC CDR Call Bulk All Schedules 06302011.zip::FFIEC CDR Call Schedule RIBI 06302011.txt; FFIEC CDR Call Bulk All Schedules 09302011.zip::FFIEC CDR Call Schedule RIBI 09302011.txt,RIAD3588: current_ytd=1070; prior_ytd=370; quarterly=700 | RIADC893: current_ytd=19114; prior_ytd=14947; quarterly=4167 | RIADC895: current_ytd=10886; prior_ytd=7211; quarterly=3675 | RIADC897: current_ytd=9741; prior_ytd=7411; quarterly=2330,RIAD3589: current_ytd=141; prior_ytd=57; quarterly=84 | RIADC894: current_ytd=871; prior_ytd=871; quarterly=0 | RIADC896: current_ytd=1601; prior_ytd=1226; quarterly=375 | RIADC898: current_ytd=1619; prior_ytd=1292; quarterly=327,Q1: quarterly=YTD; Q2-Q4: quarterly=current YTD-prior-quarter YTD; segment NCO=quarterly charge-offs-quarterly recoveries,10872.0,786.0,10086.0,10086.0,True,True,Batch 1 acceptance repair operator,PASS,Direct FFIEC archive members and values were inspected; raw-to-standard and recomputed-to-panel traces agree.,"This is a fixed random 100-observation source-document sample, not evidence that all unreviewed reporting-detail changes are absent."
682563,5510,FROST BANK,2023-12-31,Mortgage,FFIEC CDR Call Bulk All Schedules 09302023.zip; FFIEC CDR Call Bulk All Schedules 12312023.zip,FFIEC CDR Call Bulk All Schedules 09302023.zip::FFIEC CDR Call Schedule RIBI 09302023.txt; FFIEC CDR Call Bulk All Schedules 12312023.zip::FFIEC CDR Call Schedule RIBI 12312023.txt; FFIEC CDR Call Bulk All Schedules 09302023.zip::FFIEC CDR Call Schedule RIBI 09302023.txt; FFIEC CDR Call Bulk All Schedules 12312023.zip::FFIEC CDR Call Schedule RIBI 12312023.txt,RIADC234: current_ytd=997; prior_ytd=980; quarterly=17,RIADC217: current_ytd=731; prior_ytd=369; quarterly=362,Q1: quarterly=YTD; Q2-Q4: quarterly=current YTD-prior-quarter YTD; segment NCO=quarterly charge-offs-quarterly recoveries,17.0,362.0,-345.0,-345.0,True,True,Batch 1 acceptance repair operator,PASS,Direct FFIEC archive members and values were inspected; raw-to-standard and recomputed-to-panel traces agree.,"This is a fixed random 100-observation source-document sample, not evidence that all unreviewed reporting-detail changes are absent."
