bank_id,bank_name,scenario,scenario_type,model,formal_use,segment,cumulative_loss_thousands,cumulative_loss_thousands_unfloored,starting_tier1_thousands,exposure_thousands,modeled_credit_loss_burden,modeled_credit_loss_burden_unfloored
1842065,CIBC BANK USA,researcher_cre_only,Researcher partial-shock sensitivity,dynamic_fe,LIMITED_CHALLENGER,CI,24035.877264756826,10843.793547282463,8311267.0,11258083.0,0.002891963074313077,0.0013047100456864715
1842065,CIBC BANK USA,researcher_high_for_longer_rates,Researcher partial-shock sensitivity,ar_mean,FORMAL_BASELINE,CI,92790.90039287882,92790.90039287882,8311267.0,11258083.0,0.011164471120092619,0.011164471120092619
1842065,CIBC BANK USA,researcher_high_for_longer_rates,Researcher partial-shock sensitivity,ar_mean,FORMAL_BASELINE,CRE,136093.49913251717,136093.49913251717,8311267.0,17124047.0,0.016374579126445722,0.016374579126445722
1842065,CIBC BANK USA,researcher_high_for_longer_rates,Researcher partial-shock sensitivity,dynamic_fe,LIMITED_CHALLENGER,CI,25862.13860272749,22557.147004147137,8311267.0,11258083.0,0.003111696279607849,0.0027140443212986826
1842065,CIBC BANK USA,researcher_lambda_0.5,Researcher sensitivity scenario,ar_mean,FORMAL_BASELINE,CI,92790.90039287882,92790.90039287882,8311267.0,11258083.0,0.011164471120092619,0.011164471120092619
1842065,CIBC BANK USA,researcher_lambda_0.5,Researcher sensitivity scenario,ar_mean,FORMAL_BASELINE,CRE,136093.49913251717,136093.49913251717,8311267.0,17124047.0,0.016374579126445722,0.016374579126445722
1842065,CIBC BANK USA,researcher_lambda_0.5,Researcher sensitivity scenario,dynamic_fe,LIMITED_CHALLENGER,CI,139958.46779650144,139958.46779650144,8311267.0,11258083.0,0.016839606740645132,0.016839606740645132
1842065,CIBC BANK USA,researcher_lambda_1,Researcher sensitivity scenario,ar_mean,FORMAL_BASELINE,CI,92790.90039287882,92790.90039287882,8311267.0,11258083.0,0.011164471120092619,0.011164471120092619
1842065,CIBC BANK USA,researcher_lambda_1,Researcher sensitivity scenario,ar_mean,FORMAL_BASELINE,CRE,136093.49913251717,136093.49913251717,8311267.0,17124047.0,0.016374579126445722,0.016374579126445722
1842065,CIBC BANK USA,researcher_lambda_1,Researcher sensitivity scenario,dynamic_fe,LIMITED_CHALLENGER,CI,269056.0063544989,269056.0063544989,8311267.0,11258083.0,0.032372441693245914,0.032372441693245914
1842065,CIBC BANK USA,researcher_lambda_1.25,Researcher sensitivity scenario,ar_mean,FORMAL_BASELINE,CI,92790.90039287882,92790.90039287882,8311267.0,11258083.0,0.011164471120092619,0.011164471120092619
1842065,CIBC BANK USA,researcher_lambda_1.25,Researcher sensitivity scenario,ar_mean,FORMAL_BASELINE,CRE,136093.49913251717,136093.49913251717,8311267.0,17124047.0,0.016374579126445722,0.016374579126445722
1842065,CIBC BANK USA,researcher_lambda_1.25,Researcher sensitivity scenario,dynamic_fe,LIMITED_CHALLENGER,CI,333598.05132318137,333598.05132318137,8311267.0,11258083.0,0.04013805010995091,0.04013805010995091
1842065,CIBC BANK USA,researcher_unemployment_only,Researcher partial-shock sensitivity,ar_mean,FORMAL_BASELINE,CI,92790.90039287882,92790.90039287882,8311267.0,11258083.0,0.011164471120092619,0.011164471120092619
1842065,CIBC BANK USA,researcher_unemployment_only,Researcher partial-shock sensitivity,ar_mean,FORMAL_BASELINE,CRE,136093.49913251717,136093.49913251717,8311267.0,17124047.0,0.016374579126445722,0.016374579126445722
1842065,CIBC BANK USA,researcher_unemployment_only,Researcher partial-shock sensitivity,dynamic_fe,LIMITED_CHALLENGER,CI,33564.30377530266,33564.30377530266,8311267.0,11258083.0,0.004038410001183052,0.004038410001183052
1842065,CIBC BANK USA,severely_adverse,Fed official,ar_mean,FORMAL_BASELINE,CI,92790.90039287882,92790.90039287882,8311267.0,11258083.0,0.011164471120092619,0.011164471120092619
1842065,CIBC BANK USA,severely_adverse,Fed official,ar_mean,FORMAL_BASELINE,CRE,136093.49913251717,136093.49913251717,8311267.0,17124047.0,0.016374579126445722,0.016374579126445722
1842065,CIBC BANK USA,severely_adverse,Fed official,dynamic_fe,LIMITED_CHALLENGER,CI,269056.0063544989,269056.0063544989,8311267.0,11258083.0,0.032372441693245914,0.032372441693245914
1929247,SOUTHSTATE BANK NA,baseline,Fed official,ar_mean,FORMAL_BASELINE,CI,63875.316556728205,63875.316556728205,6496379.0,7030269.0,0.009832449208509573,0.009832449208509573
1929247,SOUTHSTATE BANK NA,baseline,Fed official,ar_mean,FORMAL_BASELINE,CRE,118816.34653536408,118816.34653536408,6496379.0,26757495.0,0.018289626657460114,0.018289626657460114
1929247,SOUTHSTATE BANK NA,baseline,Fed official,dynamic_fe,LIMITED_CHALLENGER,CI,10437.060232705437,6167.681611439487,6496379.0,7030269.0,0.0016065965721374072,0.0009494029845610127
1929247,SOUTHSTATE BANK NA,researcher_cre_only,Researcher partial-shock sensitivity,ar_mean,FORMAL_BASELINE,CI,63875.316556728205,63875.316556728205,6496379.0,7030269.0,0.009832449208509573,0.009832449208509573
