bank_id,bank_name,cre_to_tier1,cre_share,exposure,tier1_capital,cre_group,cumulative_loss_thousands,modeled_credit_loss_burden,equal_loss_rate_reference,mechanical_equal_rate_loss_thousands,mechanical_equal_rate_burden,decomposition_status
143662,COLUMBIA BANK,4.300775766402998,0.5674705256851125,27260493.0,6338506.0,High,209017.1482237406,0.032975775083866864,0.003283905205181449,89520.87485851246,0.014123339925609041,DESCRIPTIVE_NOT_CAUSAL
1842065,CIBC BANK USA,2.0603413414585283,0.43083443171826385,17124047.0,8311267.0,Mid,136093.49913251717,0.016374579126445722,0.003283905205181449,56233.74707707177,0.00676596565566619,DESCRIPTIVE_NOT_CAUSAL
1929247,SOUTHSTATE BANK NA,4.118832198675601,0.5466975741803826,26757495.0,6496379.0,High,118816.34653536408,0.018289626657460114,0.003283905205181449,87869.07710811659,0.013525854496499757,DESCRIPTIVE_NOT_CAUSAL
197478,EAST WEST BANK,2.668554703960702,0.3739566891230076,21277817.0,7973536.0,Mid,12903.079744220784,0.0016182380996612774,0.003283905205181449,69874.33400119832,0.00876328068264799,DESCRIPTIVE_NOT_CAUSAL
208244,OLD NATIONAL BANK,3.809974048252283,0.4604249623896951,22476599.0,5899410.0,High,20240.059655474437,0.0034308616718408177,0.003283905205181449,73811.02045087615,0.012511593608661909,DESCRIPTIVE_NOT_CAUSAL
229801,VALLEY NATIONAL BANK,4.645741730365961,0.5832356085164502,29256828.0,6297558.0,High,66634.53794642835,0.010581012187014132,0.003283905205181449,96076.64975629836,0.01525617545027745,DESCRIPTIVE_NOT_CAUSAL
233031,REGIONS BANK,1.0475993091537132,0.15775620819158787,15164000.0,14475000.0,Low,31463.814196631312,0.0021736659203199526,0.003283905205181449,49797.13853137149,0.003440216824274369,DESCRIPTIVE_NOT_CAUSAL
276579,ZIONS BCORP N A,2.880501039980356,0.3771613478210326,23051368.0,8002555.0,High,6931.744297826129,0.0008661913973507372,0.003283905205181449,75698.50736175309,0.009459292358722069,DESCRIPTIVE_NOT_CAUSAL
280110,KEYBANK NATIONAL ASSN,0.9358469882788445,0.1594942594040698,17197128.0,18376004.0,Low,55995.48700711812,0.0030472069448351296,0.003283905205181449,56473.73815337164,0.00307323279606228,DESCRIPTIVE_NOT_CAUSAL
2925666,PINNACLE BANK,3.2090605346139887,0.4229764562055197,16602402.0,5173602.0,High,111343.66320028584,0.021521497633618866,0.003283905205181449,54520.7143463149,0.01053825059336124,DESCRIPTIVE_NOT_CAUSAL
