cre_group,n_banks,mean_severe_loss,mean_capital_depletion,median_capital_depletion,mean_allowance_adjusted_loss,mean_cre_contribution,difference_high_low_capital_depletion
Low,5,893291.4002936272,0.1375729018613896,0.10969580674533372,590506.6273962673,701801.3303377086,0.2776557371506633
Mid,4,2412411.5664581805,0.35264601796627265,0.27875382342899135,1825369.8164581803,2108638.112708954,0.2776557371506633
High,5,2584586.9734844193,0.41522863901205287,0.3607727928340965,2046485.7734844193,2305251.1141609782,0.2776557371506633
